name,creators_hosts,format,lean,notable_for,url_or_platform,access_model,ownership,independence_risk,policy_depth_score,flags,tier_potential,dimension_coverage_notes
Letters from an American,Heather Cox Richardson,Newsletter,Center-left,Daily historical framing of current U.S. events rooted in constitutional and political history.,https://heathercoxrichardson.substack.com,Both,Solo creator,Low,4,[P],Confirming (left-leaning users),stability_change / trust_skepticism / rules_outcomes
Popular Information,Judd Legum & small team,Newsletter,Left,Document-based accountability journalism on money in politics and corporate influence.,https://popular.info,Both,Solo creator + small team,Low,5,[P],Confirming (left-leaning users),markets_governance / individual_collective
The Lever,David Sirota & team,Newsletter + podcast,Left,Investigations into corporate power energy policy and regulatory capture.,https://www.levernews.com,Both,Independent small newsroom,Low,5,[P],Confirming (left-leaning users),markets_governance / national_global
Zeteo,Mehdi Hasan,Newsletter + video,Left,Sharp interviews and analyses on democracy civil liberties and foreign policy.,https://zeteo.substack.com,Both,Solo creator + small team,Low,4,[P],Confirming (left-leaning users),trust_skepticism / rules_outcomes / national_global
The Ink,Anand Giridharadas,Newsletter,Left,Essays and interviews on oligarchy democracy and concentrated wealth.,https://the.ink,Both,Solo creator,Low,4,[P],Confirming (left-leaning users),markets_governance / individual_collective
Erin in the Morning,Erin Reed,Newsletter,Left,Detailed state-by-state tracking of LGBTQ-related legislation and legal developments.,https://www.erininthemorning.com,Both,Solo creator,Low,4,[P],Confirming (left-leaning users),rules_outcomes / individual_collective
Civil Discourse,Joyce Vance,Newsletter,Center-left,Legal analysis of DOJ courts and rule-of-law issues by a former U.S. attorney.,https://joycevance.substack.com,Both,Solo creator,Low,5,[P],Confirming (left-leaning users),rules_outcomes / trust_skepticism
BIG,Matt Stoller,Newsletter,Left-populist,Deep dives on antitrust tech platforms and monopoly power.,https://mattstoller.substack.com,Both,Solo creator,Low,5,[P],Confirming (left-leaning users),markets_governance / national_global
Robert Reich / Inequality Media,Robert Reich,Newsletter + video,Left,Short explainers on inequality labor democracy and economic policy.,https://robertreich.substack.com,Both,Small nonprofit around creator,Medium,4,[P],Confirming (left-leaning users),markets_governance / individual_collective
Public Notice,Aaron Rupar,Newsletter,Left,Progressive analysis of major political developments and Republican messaging.,https://www.publicnotice.co,Both,Solo creator,Low-Medium,3,[P],Confirming (left-leaning users),trust_skepticism / stability_change
HEATED,Emily Atkin,Newsletter + podcast,Left,Aggressive corruption-framing coverage of climate politics and fossil-fuel influence.,https://www.emilyatkin.com/heated,Both,Solo creator,Low,5,[P],Confirming (left-leaning users),markets_governance / national_global / pragmatism_idealism
Today's Edition Newsletter,Robert B. Hubbell,Newsletter,Left,Daily commentary on legal and political developments in a hopeful pro-democracy tone.,https://roberthubbell.substack.com,Free with optional paid,Solo creator,Low,3,[P],Confirming (left-leaning users),rules_outcomes / trust_skepticism
Slow Boring,Matthew Yglesias,Newsletter,Center-left,Policy-heavy pragmatic essays on housing immigration and economic growth.,https://www.slowboring.com,Mostly subscription,Solo creator + small team,Low,5,,Confirming / Expanding,markets_governance / local_federal / pragmatism_idealism
